Developer / Researcher,Treatment vs. Vaccine,Product Category,Stage of Development,Anticipated Next Steps,Product Description,Clinical Trials for COVID-19,Funder,Published Results,Clinical Trials for Other Diseases (T only) / Related Use or Platform (V only),FDA-Approved Indications,Sources,Date Last Updated
Regeneron/ NIAID,Treatment,Antibodies,Clinical,Joined Operation Warp Speed in July 2020; Phase III prevention trial with NIAID starts July 2020; Phase II stage of I/II/III treatment trial started July 2020,Antibody combination REGN-COV2 (REGN10933+REGN10987) against the spike protein,"NCT04425629, NCT04426695",Biomedical Advanced Research and Development Authority (BARDA)/ US Department of Defense,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/8/2020
AstraZeneca; ACCORD trial ,Treatment,Antibodies,Clinical,ACCORD Phase II trial to start May 2020,"MEDI3506, monoclonal antibody targeting interleukin 33",,UK Government (ACCORD study),,Chronic Obstructive Pulmonary Diesase,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/10/2020
Ligand Pharmaceuticals,Treatment,Antibodies,Pre-clinical,Unknown,Antibodies (OmniChicken platform),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/23/2020
Kamada / Kedrion Biopharma,Treatment,Antibodies,Pre-clinical,Unknown,Antibodies from recovered COVID-19 patients,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/4/2020
Harbour BioMed / Erasmus MC / Utrecht University / Mount Sinai Health System / AbbVie,Treatment,Antibodies,Pre-clinical,Unknown,Antibody 47D11,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/9/2020
Emergent BioSolutions / National Institute of Allergy and Infectious Diseases (NIAID),Treatment,Antibodies,Pre-clinical,Phase II trials begin ~August 2020,Polyclonal hyperimmune globulin (H-IG),,Biomedical Advanced Research and Development Authority (BARDA),,Same human hyperimmune platform as FDA-approved anthrax treatment (Anthrasil) and smallpox vaccine complications (VIGIV) were developed,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Eli Lilly / AbCellera (NIH Vaccines Research Center),Treatment,Antibodies,Clinical,Phase 1 started June 2020; results expected end of June 2020,LY-CoV555 antibody from recovered patients,,Defense Advanced Research Projects Agency/ Government of Canada (ISED Strategic Innovation Fund),,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/17/2020
"Chelsea and Westminster Hospital, Imperial College London",Treatment,Antibodies,Pre-clinical,Unknown,Antibodies,,UK Government,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/10/2020
GSK,Treatment,Antibodies,Clinical,Phase II recruiting June 2020,"otilimab, anti-granulocyte macrophase colony-stimulating factor (GM-CSF) antibody
",NCT04376684,Unknown,,"To treat rheumatoid arthritis
",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/10/2020
Eli Lilly,Treatment,Antibodies,Clinical,Phase II to start in April 2020,"LY3127804, anti-Angiopoietin 2 (Ang2) antibody",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Edesa Biotech / Light Chain Bioscience (NovImmune),Treatment,Antibodies,Pre-clinical,Unknown,"Monocloncal antibodies, CXC10 antagonist",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/23/2020
"CoVIg-19 Plasma Alliance (Takeda, CSL Behring, Biotest AG, Bio Products Laboratory, LFB, and Octapharma, ADMA Biologics, BioPharma Plasma, GC Pharma, Sanquin)/ National Institute of Allergy and Infectious Disease (NIAID)/ Microsoft (CoVIg-19 PlasmaBot)",Treatment,Antibodies,Pre-clinical,Phase I trials start in summer 2020; To patients between December 2020 and December 2021,"Polyclonal hyperimmune globulin (H-IG), unbranded",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/10/2020
Multiple global research sponsors; Octapharma USA/ Sharp Memorial Hospital,Treatment,Antibodies,Clinical,Sharpy Memorial Hospital preliminary data released June 2020; Phase III trial to start May 2020,Octagam; intravenous Immunoglobulin (IVIG),"NCT04261426

NCT04264858

NCT04350580",Unknown,"Open Forum Infectious Diseases (https://academic.oup.com/ofid/article/7/3/ofaa102/5810740), (https://www.businesswire.com/news/home/20200603005130/en/Octapharma-USA-Extends-Funding-COVID-19-Study-Positive), medRxiv (https://doi.org/10.1101/2020.06.15.20132407)",,"FDA-approved since 2014, approved to treat chronic immune thrombocytopenic purpura (ITP)",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/22/2020
Abcore,Treatment,Antibodies,Pre-clinical,Unknown,"Single domain antibodies (sdAbs), engineered monoclonal antibody derived from camelids",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/21/2020
Celltrion,Treatment,Antibodies,Pre-clinical,Unknown,Super-antibody or antibody cocktail to target potential mutations of SARS-CoV-2,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Wuhan Jinyintan Hospital,Treatment,Antibodies,Clinical,"No trial updates since February 2020
","AiRuiKa (camrelizumab), anti-programmed cell death protein (PD-1) antibody",ChiCTR2000029806,Unknown,,Treatment of certain cancers,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/27/2020
University of Texas at Austin / US National Institutes of Health / Ghent University,Treatment,Antibodies,Pre-clinical,Unknown,Linked nanobody antibody,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/1/2020
Xbiotech / BioBridge Global,Treatment,Antibodies,Pre-clinical,Unknown,Antibodies from recovered COVID-19 patients,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Ligand Pharmaceuticals,Treatment,Antibodies,Pre-clinical,Unknown,Antibodies (OmniRat platform),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/23/2020
FairJourney Biologics / Iontas,Treatment,Antibodies,Pre-clinical,Unknown,Antibodies,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/21/2020
Assistance Publique - Hopitaux de Paris (Phase II); Alexion (Expanded Access Protocols),Treatment,Antibodies,Clinical,Phase II recruiting May 2020. Expanded access protocols,"Soliris (eculizumab), complement inhibitor","NCT04288713

NCT04346797

NCT04355494 ",Unknown,,,"FDA-approved since 2007, approved to treat Paroxysmal Nocturnal Hemoglobinuria, Atypical Hemolytic Uremic Syndrome, Generalized Myasthenia Gravis, and Neuromyelitis Optica Spectrum Disorder",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/5/2020
Celltrion,Treatment,Antibodies,Pre-clinical,Start Phase I in July 2020,"CT-P59; Antibodies from recovered COVID-19 patients
",,The Korea Health Industry Development Institute,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/5/2020
Alexion Pharmaceuticals,Treatment,Antibodies,Clinical,Phase III to start in May 2020,"Ultomiris (ravulizumab-cwvz), complement inhibitor",NCT04369469,Unknown,,,"FDA-approved since 2018, aprpoved to treat paroxysmal nocturnal hemoglobinuria and atypical hemolytic uremic syndrome",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/5/2020
GigaGen,Treatment,Antibodies,Pre-clinical,Unknown,"rCIG (recombinant anti-coronavirus 19 hyperimmune gammaglobulin), polyclonal antibodies",,Unknown,,,N//A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Vir Biotechnology / GSK / Samsung / WuXi Biologics / Biogen,Treatment,Antibodies,Pre-clinical,Start Phase II ~July-September 2020,"VIR-7831 and VIR-7832, antibodies from recovered SARS patients",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/20/2020
Swedish Orphan Biovitrum,Treatment,Antibodies,Clinical,Phase II/III recruiting April 2020,"Gamifant (emapalumab), anti-interferon gamma antibody",NCT04324021,Unknown,,,"FDA-approved since 2018, approved to treat primary hemophagocytic lymphohistiocytosis",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/27/2020
ImmunoPrecise Antibodies,Treatment,Antibodies,Pre-clinical,Unknown,Monoclonal antibody cocktail,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/23/2020
CytoDyn,Treatment,Antibodies,Clinical,"Phase II trial (mild/moderate) met enrollment in June 2020; Phase IIb/III trial (severe) ongoing June 2020, interim results expected June/July 2020","leronlimab (PRO 140), a CCR5 antagonist","NCT04343651      

NCT04347239",Unknown,CytoDyn (https://www.cytodyn.com/newsroom/press-releases/detail/415/southern-california-patients-treated-with-leronlimab-for),"Treatment of HIV/AIDS, Graft versus Host Disease, Non-Alcoholic Steatohepatitis, and numerous cancers",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/22/2020
Grifols,Treatment,Antibodies,Pre-clinical,Unknown,Polyclonal hyperimmune globulin (H-IG),,Biomedical Advanced Research and Development Authority (BARDA),,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
"EUSA Pharma / The Papa Giovanni XXII Hospital; University Hospital, Ghent; Fundacion Clinic per a la Recerca Biomédica",Treatment,Antibodies,Clinical,FDA approves Phase III trial in hospitalized patients in July 2020,"Sylvant (siltuximab), interleukin-6 targeted monoclonal","NCT04322188

NCT04330638

NCT04329650",Unknown,"EUSA Pharma (https://www.eusapharma.com/news/interim-analysis-data-for-siltuximab-treated-covid-19-patients-from-the-sisco-study/)       

medRxiv (https://doi.org/10.1101/2020.04.01.20048561)

medRxiv (https://doi.org/10.1101/2020.04.23.20076612)",,"FDA-approved since 2014, approved to treat multicentric Castleman disease",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/7/2020
Vanderbilt Vaccine Center / AstraZeneca / IDBiologics,Treatment,Antibodies,Pre-clinical,Phase I trial begins in August 2020,Combo of two antibodies,,Defense Advanced Research Projects Agency/ Dolly Parton/ Biomedical Advanced Research and Development Authority (BARDA),,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/15/2020
Numerous trials with global research sponsors; Roche; REMAP-CAP; RECOVERY,Treatment,Antibodies,Clinical,"Initial Roche studies could be completed May or June 2020; Phase II open label study in Italy active (April 2020), Phase III Roche global trial enrolling May 2020, Roche trial (+ remdesivir) to start June 2020","Actemra (tocilizumab), interleukin-6 receptor antagonist","NCT04317092, NCT04320615, NCT04310228, ChiCTR2000030894, NCT04306705, ChiCTR2000030442, ChiCTR2000029765, NCT04322773, NCT04345445, NCT04331795, NCT04332094, NCT04346355, NCT04359667, NCT04332913, NCT04335071, NCT04356937, NCT04361032, NCT04315480, NCT04339712, NCT04333914, NCT04361552, NCT04330638, NCT04331808, NCT02735707, NCT04349410, NCT04363736, NCT04372186, NCT04363853",Biomedical Advanced Research and Development Authority (BARDA),"ChinaXiv (http://www.chinaxiv.org/abs/202003.00026), medRxiv (https://doi.org/10.1101/2020.04.20.20061861), medRxiv (https://doi.org/10.1101/2020.04.23.20076612), Assistance Publique Hopitaux De Paris (https://www.aphp.fr/contenu/le-tocilizumab-ameliore-significativement-le-pronostic-des-patients-avec-pneumonie-covid), PNAS (https://www.pnas.org/content/early/2020/04/27/2005615117#T1), medRxiv (https://doi.org/10.1101/2020.05.01.20078360), medRxiv (https://doi.org/10.1101/2020.05.07.20094599), medRxiv (https://doi.org/10.1101/2020.05.14.20099234), medRxiv (https://doi.org/10.1101/2020.05.13.20100404), medRxiv (https://doi.org/10.1101/2020.05.13.20100081), medRxiv (https://doi.org/10.1101/2020.05.21.20109207), medRxiv (https://doi.org/10.1101/2020.06.12.20122374), medRxiv (https://doi.org/10.1101/2020.06.08.20125245), medRxiv (https://doi.org/10.1101/2020.06.06.20122341), medRxiv (https://doi.org/10.1101/2020.06.05.20122622), medRxiv (https://doi.org/10.1101/2020.06.03.20121558), medRxiv (https://doi.org/10.1101/2020.06.05.20113738), medRxiv (https://doi.org/10.1101/2020.06.01.20119149), medRxiv (https://doi.org/10.1101/2020.05.29.20117358), medRxiv (https://doi.org/10.1101/2020.06.13.20130088), Italian Medicines Agency (https://www.aifa.gov.it/web/guest/-/covid-19-studio-randomizzato-italiano-nessun-beneficio-dal-tocilizumab), medRxiv (https://doi.org/10.1101/2020.06.15.20132407), EClinicalMed (https://doi.org/10.1016/j.eclinm.2020.100418), Lancet Rheumatology (https://doi.org/10.1016/S2665-9913(20)30173-9), medRxiv (https://doi.org/10.1101/2020.06.23.20134072), medRxiv (https://doi.org/10.1101/2020.06.22.20133413), medRxiv (https://doi.org/10.1101/2020.06.24.20134288), The Lancet (https://doi.org/10.1016/j.eclinm.2020.100410)",,"FDA-approved since 2010, approved to treat various type of arthritis, including rheumatoid arthritis and cytokine release syndrome",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/7/2020
Tsinghua University / Third People's Hospital of Shenzhen / Brii Biosciences,Treatment,Antibodies,Pre-clinical,Phase I trial begins Q3 2020,Antibodies from recovered COVID-19 patients,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Sanofi / Regeneron; Feinstein Institutes; REMAP-CAP global trial,Treatment,Antibodies,Clinical,"Phase III (US) results released July 2020 and US trial stopped, Phase III (ex-US in severe and critical hospitalized patients continues) results expected 3Q 2020","Kevzara (sarilumab), interleukin-6 receptor antagonist","NCT04315298, NCT04321993, NCT04341870, NCT04324073, NCT04327388, NCT04322773, NCT04345289, NCT02735707, NCT04357808, NCT04357860, NCT04359901",Biomedical Advanced Research and Development Authority (BARDA),"medRxiv (https://doi.org/10.1101/2020.04.23.20076612)Regeneron (https://newsroom.regeneron.com/index.php/news-releases/news-release-details/regeneron-and-sanofi-provide-update-us-phase-23-adaptive)ChinaXiv (http://www.chinaxiv.org/abs/202003.00026)medRxiv (https://doi.org/10.1101/2020.05.14.20094144), Regeneron (https://investor.regeneron.com/news-releases/news-release-details/regeneron-and-sanofi-provide-update-kevzarar-sarilumab-phase-3)",,"FDA-approved since 2017, approved to treat rheumatoid
 arthritis",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/7/2020
Public Health England (Stuart Dowall),Treatment,Antibodies,Pre-clinical,Unknown,Purified ovine immunoglobulin from immunized sheep,,UK Government,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/23/2020
Grifols,Treatment,Antibodies,Pre-clinical,Unknown,Antibodies from recovered COVID-19 patients,,Biomedical Advanced Research and Development Authority (BARDA),,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Humanigen Inc.,Treatment,Antibodies,Clinical,Data on first clinical use released June 2020; Phase III trial recruiting June 2020,"lenzilumab, anti-granulocyte-macrophage colony stimulating factor antibody",NCT04351152,Unknown,"medRxiv (https://doi.org/10.1101/2020.06.08.20125369), (https://www.humanigen.com/press/Humanigen-Reports-Additional-Analysis-of-Lenzilumab-in-Severe-and-Critical-COVID-19-Patients)",Prevent cytokine storm with CAR-T cancer therapy; prevention/treatment of acute graft versus host disease; chronic myelomonocytic leukemia; eosinophilic asthma,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/17/2020
"Novartis; other research sponsors
",Treatment,Antibodies,Clinical,Novartis Phase III to start and trial top-line results expected late summer 2020,"Ilaris (canakinumab), interleukin-1beta blocker","NCT04348448

NCT04362813

NCT04365153",Unknown,The Lancet Rheumatology (https://doi.org/10.1016/S2665-9913(20)30167-3),,"FDA-approved since 2009, approved to treat periodic fever syndromes and systemic juvenile idiopathic arthritis",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/9/2020
Junshi Biosciences / Eli Lilly,Treatment,Antibodies,Clinical,Phase I trial in China started June 2020; trial in US to start 2H 2020   ,"JS016 antibody candidate
",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/9/2020
Medicago / Laval University's Infectious Disease Research Centre,Treatment,Antibodies,Pre-clinical,Unknown,Antibodies,,Canadian Institutes for Health Research (CIHR),,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
I-Mab Biopharma,Treatment,Antibodies,Clinical,"Interim Phase I/II data released June 2020, part 2 of the study to start June 2020","TJM2 (TJ003234), anti-granulocyte-macrophage colony stimulating factor antibody",NCT04341116,Unknown,PR Newswire (https://www.prnewswire.com/news-releases/i-mab-reports-interim-results-from-part-1-study-for-anti-gm-csf-antibody-tjm2-to-treat-covid-19-patients-with--cytokine-release-syndrome-301066451.html),,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/2/2020
Innovent Biologics,Treatment,Antibodies,Pre-clinical,Unknown,Antibodies from recovered COVID-19 patients,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Sorrento Therapeutics / Mount Sinai Health System,Treatment,Antibodies,Pre-clinical,Start Phase II trial Q3 2020,COVI-SHIELD antibody cocktail that binds to three different epitopes,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/20/2020
AstraZeneca / US Army Medical Research Institute of Infectious Diseases (USAMRIID) / University of Maryland School of Medicine,Treatment,Antibodies,Pre-clinical,Phase I trials begin in summer 2020,"Antibodies targeting the S protein from convalescent serum, humanized mice, and phage display",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Costa Rican Social Security Fund (CCSS)/ The University of Costa Rica (UCR)/ Clodomiro Picado Institute,Treatment,Antibodies,Pre-clinical,Unknown,Antibodies from recovered COVID-19 patients,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Prellis Biologics,Treatment,Antibodies,Pre-clinical,Unknown,Antibodies,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/21/2020
Emergent BioSolutions,Treatment,Antibodies,Pre-clinical,Phase II trials begin ~August 2020,Horse plasma product (COVID-EIG),,Unknown,,Same equine hyperimmune platform as FDA-approved botulism anti-toxin (BAT) is produced,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
CSL Behring / SAb Biotherapeutics,Treatment,Antibodies,Pre-clinical,Phase I starts early summer 2020,"SAB-185, Polyclonal hyperimmune globulin (H-IG)",,Biomedical Advanced Research and Development Authority (BARDA)/ US Department of Defense,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/17/2020
"CSL Behring Australia
",Treatment,Antibodies,Pre-clinical,Unknown,"COVID-19 Immunoglobulin, plasma derived
",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/10/2020
Amgen / Adaptive Biotechnologies,Treatment,Antibodies,Pre-clinical,Unknown,Antibodies from recovered COVID-19 patients,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
InflaRx N.V.,Treatment,Antibodies,Clinical,Phase II topline results reported June 2020,"IFX-1, anti-C5a antibody",NCT04333420,Unknown,inflaRx (https://www.inflarx.de/Home/Investors/Press-Releases/06-2020-InflaRx-Reports-Encouraging-Topline-Results-from-the-Exploratory-Phase-II-Part-of-the-Adaptive-Randomized-Phase-II-III-Trial-of-IFX-1-in-COVID-19.html),"To treat various inflammatory conditions including hidradenitis suppurativa, ANCA-associated vasculitis, and pyoderma gangraenosum",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/22/2020
