item,itemLabel,countryid,Country
Q84055514,2020 coronavirus pandemic in India,Q668,India
Q87902950,2020 coronavirus pandemic in Kyrgyzstan,Q813,Kyrgyzstan
Q87975745,2020 coronavirus pandemic in Fiji,Q712,Fiji
Q87976701,2020 coronavirus pandemic in Nicaragua,Q811,Nicaragua
Q87976489,2020 coronavirus pandemic in El Salvador,Q792,El Salvador
Q88082693,2020 coronavirus pandemic in Haiti,Q790,Haiti
Q88137634,2020 coronavirus pandemic in Papua New Guinea,Q691,Papua New Guinea
Q88356648,2020 coronavirus pandemic in Dominica,Q784,Dominica
Q88460663,2020 coronavirus pandemic in Myanmar,Q836,Myanmar
Q88521330,2020 coronavirus pandemic in Laos,Q819,Laos
Q88713785,2020 coronavirus pandemic in Grenada,Q769,Grenada
Q88864139,2020 coronavirus pandemic in Saint Kitts and Nevis,Q763,Saint Kitts and Nevis
Q89695985,2020 coronavirus pandemic in Yemen,Q805,Yemen
Q89277147,2020 coronavirus pandemic in Samoa,Q683,Samoa
Q89277064,2020 coronavirus pandemic in Nauru,Q697,Nauru
Q89277028,2020 coronavirus pandemic in Kiribati,Q710,Kiribati
Q89277011,2020 coronavirus pandemic in Tuvalu,Q672,Tuvalu
Q89276897,2020 coronavirus pandemic in the Marshall Islands,Q709,Marshall Islands
Q89277187,2020 coronavirus pandemic in the Solomon Islands,Q685,Solomon Islands
Q89277286,2020 coronavirus pandemic in Vanuatu,Q686,Vanuatu
Q89277287,2020 coronavirus pandemic in Palau,Q695,Palau
Q89277298,2020 coronavirus pandemic in Micronesia,Q702,Federated States of Micronesia
Q83872271,2019–20 coronavirus pandemic in mainland China,Q148,People's Republic of China
Q84104992,2020 coronavirus pandemic in Italy,Q38,Italy
Q83872398,2019–20 COVID-19 outbreak in South Korea,Q884,South Korea
Q84167106,2020 coronavirus pandemic in the United Kingdom,Q145,United Kingdom
Q83873593,2020 coronavirus pandemic in France,Q142,France
Q84055544,2019–20 coronavirus pandemic in the Philippines,Q928,Philippines
Q86597685,2020 coronavirus pandemic in Denmark,Q35,Denmark
Q86597695,2020 coronavirus pandemic in Brazil,Q155,Brazil
Q83873577,2020 coronavirus pandemic in the United States,Q30,US
Q86717788,2020 coronavirus pandemic in Switzerland,Q39,Switzerland
Q86756826,2020 coronavirus pandemic in the Netherlands,Q55,Netherlands
Q86847911,2020 coronavirus pandemic in Austria,Q40,Austria
Q86628344,2020 coronavirus pandemic in Mexico,Q96,Mexico
Q86948603,2020 coronavirus pandemic in Portugal,Q45,Portugal
Q87058723,2020 coronavirus pandemic in Morocco,Q1028,Morocco
Q87116829,2020 coronavirus pandemic in Egypt,Q79,Egypt
Q87250695,2020 coronavirus pandemic in Poland,Q36,Poland
Q87250930,2020 coronavirus pandemic in Cameroon,Q1009,Cameroon
Q87343682,2020 coronavirus pandemic in Tunisia,Q948,Tunisia
Q87412028,2020 coronavirus pandemic in Brunei,Q921,Brunei
Q87473205,2020 coronavirus pandemic in Turkey,Q43,Turkey
Q87540454,2020 coronavirus pandemic in Bangladesh,Q902,Bangladesh
Q87651970,2020 coronavirus pandemic in Guinea,Q1006,Guinea
Q87660365,2020 coronavirus pandemic in Uruguay,Q77,Uruguay
Q87662819,2020 coronavirus pandemic in Togo,Q945,Togo
Q87657486,2020 coronavirus pandemic in Sudan,Q1049,Sudan
Q87714704,2020 coronavirus pandemic in Rwanda,Q1037,Rwanda
Q87715166,2020 coronavirus pandemic in Bhutan,Q917,Bhutan
Q87709900,2020 coronavirus pandemic in Mauritania,Q1025,Mauritania
Q87718451,2020 coronavirus pandemic in Nigeria,Q1033,Nigeria
Q87709973,2020 coronavirus pandemic in Eswatini,Q1050,Eswatini
Q87705884,2020 coronavirus pandemic in Kenya,Q114,Kenya
Q87704267,2020 coronavirus pandemic in Ivory Coast,Q1008,Ivory Coast
Q87666247,2020 coronavirus pandemic in Ghana,Q117,Ghana
Q87665038,2020 coronavirus pandemic in Ethiopia,Q115,Ethiopia
Q87706558,2020 coronavirus pandemic in the Democratic Republic of the Congo,Q974,Democratic Republic of the Congo
Q87665364,2020 coronavirus pandemic in Burkina Faso,Q965,Burkina Faso
Q87729500,2020 coronavirus pandemic in Seychelles,Q1042,Seychelles
Q87729501,2020 coronavirus pandemic in Namibia,Q1030,Namibia
Q87742085,2020 coronavirus pandemic in the Central African Republic,Q929,Central African Republic
Q87742114,2020 coronavirus pandemic in the Republic of the Congo,Q971,Republic of the Congo
Q87745903,2020 coronavirus pandemic in Senegal,Q1041,Senegal
Q87768605,2020 coronavirus pandemic in Afghanistan,Q889,Afghanistan
Q87770645,2020 coronavirus pandemic in Somalia,Q1045,Somalia
Q87770827,2020 coronavirus pandemic in Tanzania,Q924,Tanzania
Q87899022,2020 coronavirus pandemic in Djibouti,Q977,Djibouti
Q87899016,2020 coronavirus pandemic in the Gambia,Q1005,The Gambia
Q87979033,2020 coronavirus pandemic in Mauritius,Q1027,Mauritius
Q87976629,2020 coronavirus pandemic in Zambia,Q953,Zambia
Q88082534,2020 coronavirus pandemic in Angola,Q916,Angola
Q88082639,2020 coronavirus pandemic in Cape Verde,Q1011,Cape Verde
Q88082809,2020 coronavirus pandemic in Niger,Q1032,Niger
Q87781572,2020 coronavirus pandemic in Benin,Q962,Benin
Q88164033,2020 coronavirus pandemic in Zimbabwe,Q954,Zimbabwe
Q88335426,2020 coronavirus pandemic in Mozambique,Q1029,Mozambique
Q88263719,2020 coronavirus pandemic in Uganda,Q1036,Uganda
Q88225303,2020 coronavirus pandemic in Madagascar,Q1019,Madagascar
Q88371105,2020 coronavirus pandemic in Eritrea,Q986,Eritrea
Q88556836,2020 coronavirus pandemic in Mali,Q912,Mali
Q87816112,2020 coronavirus pandemic in American Samoa,Q16641,American Samoa
Q87816426,2020 coronavirus pandemic in the Northern Mariana Islands,Q16644,Northern Mariana Islands
Q88568089,2020 coronavirus pandemic in Libya,Q1016,Libya
Q88617000,2020 coronavirus pandemic in Guinea-Bissau,Q1007,Guinea-Bissau
Q89164046,2020 coronavirus pandemic in Botswana,Q963,Botswana
Q89127366,2020 coronavirus pandemic in Sierra Leone,Q1044,Sierra Leone
Q89193856,2020 coronavirus pandemic in Burundi,Q967,Burundi
Q89285378,2020 coronavirus pandemic in Malawi,Q1020,Malawi
Q89560617,2020 coronavirus pandemic in South Sudan,Q958,South Sudan
Q89598747,2020 coronavirus pandemic in São Tomé and Príncipe,Q1039,São Tomé and Príncipe
Q89277288,2020 coronavirus pandemic in Transnistria,Q907112,Pridnestrovie
Q89872880,2020 coronavirus pandemic in the Republic of Artsakh,Q244165,Artsakh
Q83873580,2020 coronavirus pandemic in Canada,Q16,Canada
Q83872291,2020 coronavirus pandemic in Japan,Q17,Japan
Q86886544,2020 coronavirus pandemic in Norway,Q20,Norway
Q87186365,2020 coronavirus pandemic in the Republic of Ireland,Q27,Ireland
Q87743866,2020 coronavirus pandemic in Wales,Q25,Wales
Q84030045,2019–20 coronavirus outbreak in the United Arab Emirates,Q878,United Arab Emirates
Q83873057,2020 coronavirus pandemic in Vietnam,Q881,Vietnam
Q83873566,2020 coronavirus pandemic in Thailand,Q869,Thailand
Q83889114,2019–20 coronavirus outbreak in Sri Lanka,Q854,Sri Lanka
Q87814953,2020 coronavirus pandemic in Syria,Q858,Syria
Q89753133,2020 coronavirus pandemic in Turkmenistan,Q874,Turkmenistan
Q89990513,2020 coronavirus pandemic in Tajikistan,Q863,Tajikistan
Q83888864,2019–20 coronavirus outbreak in Cambodia,Q424,Cambodia
Q83873548,2020 coronavirus pandemic in Australia,Q408,Australia
Q86675924,2020 coronavirus pandemic in North Korea,Q423,North Korea
Q87235137,2020 coronavirus pandemic in Argentina,Q414,Argentina
Q87587763,2020 coronavirus pandemic in Peru,Q419,Peru
Q87836826,COVID-19 pandemic in East Timor,Q574,East Timor
Q88082670,2020 coronavirus pandemic in Chad,Q657,Chad
Q83889294,2020 coronavirus pandemic in Germany,Q183,Germany
Q86919406,2020 coronavirus pandemic in the Czech Republic,Q213,Czech Republic
Q87066621,2020 coronavirus pandemic in Latvia,Q211,Latvia
Q87200954,2020 coronavirus pandemic in Slovakia,Q214,Slovakia
Q83873387,2020 coronavirus pandemic in Singapore,Q334,Singapore
Q86913546,2020 coronavirus pandemic in Indonesia,Q252,Indonesia
Q87070999,2020 coronavirus pandemic in Bahrain,Q398,Bahrain
Q87191204,2020 coronavirus pandemic in Chile,Q298,Chile
Q87250732,2020 coronavirus pandemic in Croatia,Q224,Croatia
Q87250752,2020 coronavirus pandemic in Romania,Q218,Romania
Q87243915,2020 coronavirus pandemic in South Africa,Q258,South Africa
Q87202921,2020 coronavirus pandemic in Algeria,Q262,Algeria
Q87486535,2020 coronavirus pandemic in Bulgaria,Q219,Bulgaria
Q87651995,2020 coronavirus pandemic in Kazakhstan,Q232,Kazakhstan
Q87887813,2020 coronavirus pandemic in Montenegro,Q236,Montenegro
Q87902902,2020 coronavirus pandemic in Barbados,Q244,Barbados
Q87755912,2020 coronavirus pandemic in Uzbekistan,Q265,Uzbekistan
