Ligand (Therapeutic),qid,Ligand ID,Comments
remdesivir,,10715,Nucleotide analogue antiviral with broad-spectrum activity against RNA viruses. Used on compassionate grounds to treat the first SARS-CoV-2 +ve patient in the US. Phase 3 trial NCT04292899 to be carried out in patients with severe COVID-19 is in preparation.
chloroquine,Q422438,5535,with remdesivir. Effectively inhibits a clinical isolate of SARS-CoV-2 in vitro PMID: 32020029
ribavirin,Q421862,6842,with ritonavir. Anti-HIV combination that could be repurposed for COVID-19.
ritonavir,Q422618,8804,NCT04295551. Update: No significant benefit from ritonavir + lopinavir treatment (compared to standard therapy) was observed in patients with severe COVID-19 (results reported for Chinese trial ChiCTR2000029308 http://www.chictr.org.cn/showprojen.aspx?proj=48684 in NEJM 18/03/2020 PMID: 32187464 https://pubmed.ncbi.nlm.nih.gov/32187464)
ruxolitinib,Q7383611,5688,An approved anti-inflammatory JAK1/2/TYK2 inhibitor. Under clinical evaluation for Covid-19 (in combination with mesenchymal stem cell infusion)
Sarilumab,Q7424081,7999,"Approved immunosuppressive anti-IL-6 receptor mAb. Four COVID-19 trials underway as of March 30 2020, including the French open-label CORIMUNO-SARI study NCT04324073."
sirolimus,Q32089,6031,An approved immunosuppressive drug. Sirolimus inhibits MERS-CoV infection of human liver cells in vitro; may be applicable to SARS-CoV-2 infection.
thalidomide,Q203174,7327,"Thalidomide + low-dose glucocorticoid, and thalidomide + celecoxib are two approaches being evaluated for clinical efficacy in patients with severe COVID-19. These combine the immunosuppressive action of thalidomide with the anti-inflammatoiry actions of glucocorticoids and COX inhibition respectively. See NCT04273529 and NCT04273581 as examples."
tocilizumab,Q425154,6881,"Approved immunosuppressive anti-IL-6 receptor mAb. China's National Health Commission has authorised its use to treat patients with serious COVID-19-induced lung damage, and results have been posted on the preprint server of the Chinese Academy of Sciences.(ChinaRix), url http://www.chinaxiv.org/abs/202003.00026, DOI: 10.12074/202003.00026. Phase 2 trial TOCIVID-19 (NCT04317092) is underway in Italy."
Ciclesonide,Q5119448,7469,Ciclesonide (an approved corticosteroid used to treat respiratory inflammation) can inhibit SARS-CoV-2 replication via inhibition of viral nsp15 (bioRxiv preprint article Matsuyama et al. (2020) https://doi.org/10.1101/2020.03.11.987016).
umifenovir,,n/a,A broad-spectrum antiviral drug used to treat influenza infection in Russia and China; not FDA approved
