item,itemLabel,itemDescription,country,countryLabel,valid_in_place,valid_in_placeLabel
Q89368345,COVID-19 crisis 2020 at the GGD Hart voor Brabant,2020 coronavirus outbreak at the GGD Hart voor Brabant,Q55,Países Baixos,,
Q89368350,COVID-19 crisis 2020 at the GGD Amsterdam,2020 coronavirus outbreak at the GGD Amsterdam,Q55,Países Baixos,,
Q89368351,COVID-19 crisis 2020 at the GGD Hollands-Noorden,2020 coronavirus outbreak at the GGD Hollands-Noorden,Q55,Países Baixos,,
Q89368348,COVID-19 crisis 2020 at the GGD West-Brabant,2020 coronavirus outbreak at the GGD West-Brabant,Q55,Países Baixos,,
Q89368355,COVID-19 crisis 2020 at the GGD Zaanstreek-Waterland,2020 coronavirus outbreak at the GGD Zaanstreek-Waterland,Q55,Países Baixos,,
Q89368352,COVID-19 crisis 2020 at the GGD Kennemerland,2020 coronavirus outbreak at the GGD Kennemerland,Q55,Países Baixos,,
Q89368359,COVID-19 crisis 2020 at the GGD Twente,2020 coronavirus outbreak at the GGD Twente,Q55,Países Baixos,,
Q89368357,COVID-19 crisis 2020 at the GGD IJsselland,2020 coronavirus outbreak at the GGD IJsselland,Q55,Países Baixos,,
Q89368367,COVID-19 crisis 2020 at the GGD Gooi en Vechtstreek,2020 coronavirus outbreak at the GGD Gooi en Vechtstreek,Q55,Países Baixos,,
Q89368371,COVID-19 crisis 2020 at the GGD Utrecht,2020 coronavirus outbreak at the GGD Utrecht,Q55,Países Baixos,,
Q89368375,COVID-19 crisis 2020 at the GGD Haaglanden,2020 coronavirus outbreak at the GGD Haaglanden,Q55,Países Baixos,,
Q89368378,COVID-19 crisis 2020 at the GGD Rotterdam-Rijnmond,2020 coronavirus outbreak at the GGD Rotterdam-Rijnmond,Q55,Países Baixos,,
Q89368379,COVID-19 crisis 2020 at the GGD Zuid-Holland-Zuid,2020 coronavirus outbreak at the GGD Zuid-Holland-Zuid,Q55,Países Baixos,,
Q89368376,COVID-19 crisis 2020 at the GGD Hollands Midden,2020 coronavirus outbreak at the GGD Hollands Midden,Q55,Países Baixos,,
Q89422335,COVID-19 pandemic in Hamburg,,Q183,Alemanha,,
Q89422483,COVID-19 pandemic in Schleswig-Holstein,,Q183,Alemanha,,
Q89587538,2020 coronavirus pandemic in Caribbean Netherlands,viral outbreak in Caribbean Netherlands,Q29999,Reino dos Países Baixos,,
Q89688991,2020 coronavirus pandemic in Cologne,,,,,
Q89923910,2020 coronavirus pandemic in Easter Island,,,,,
Q90084900,2020 coronavirus pandemic on naval ships,,,,Q177597,naval ship
Q90151524,Pandemia de COVID-19 na cidade de Águas de Lindóia,instância local da pandemia de COVID-19,,,Q249869,Águas de Lindóia
Q90152071,Pandemia de COVID-19 na cidade de Águas de São Pedro,instância local da pandemia de COVID-19,,,Q249900,Águas de São Pedro
Q90152077,Pandemia de COVID-19 na cidade de Agudos,instância local da pandemia de COVID-19,,,Q1750166,Agudos
Q90152165,Pandemia de COVID-19 na cidade de Americana,instância local da pandemia de COVID-19,,,Q467421,Americana
Q90152534,Pandemia de COVID-19 na cidade de Araçatuba,instância local da pandemia de COVID-19,,,Q626835,Araçatuba
Q90152555,Pandemia de COVID-19 na cidade de Araçoiaba da Serra,instância local da pandemia de COVID-19,,,Q1754621,Araçoiaba da Serra
Q90152565,Pandemia de COVID-19 na cidade de Araraquara,instância local da pandemia de COVID-19,,,Q626247,Araraquara
Q90152584,Pandemia de COVID-19 na cidade de Araras,instância local da pandemia de COVID-19,,,Q580366,Araras
Q90152606,Pandemia de COVID-19 na cidade de Artur Nogueira,instância local da pandemia de COVID-19,,,Q1754345,Artur Nogueira
Q90152613,Pandemia de COVID-19 na cidade de Arujá,instância local da pandemia de COVID-19,,,Q1750250,Arujá
Q90152726,Pandemia de COVID-19 na cidade de Assis,instância local da pandemia de COVID-19,,,Q742227,Assis
Q90152743,Pandemia de COVID-19 na cidade de Atibaia,instância local da pandemia de COVID-19,,,Q1637405,Atibaia
Q90152759,Pandemia de COVID-19 na cidade de Avaré,instância local da pandemia de COVID-19,,,Q782812,Avaré
Q90152761,Pandemia de COVID-19 na cidade de Bady Bassitt,instância local da pandemia de COVID-19,,,Q268782,Bady Bassitt
Q90152789,Pandemia de COVID-19 na cidade de Barra do Turvo,instância local da pandemia de COVID-19,,,Q1760650,Barra do Turvo
Q90152798,Pandemia de COVID-19 na cidade de Barretos,instância local da pandemia de COVID-19,,,Q1637488,Barretos
Q90152803,Pandemia de COVID-19 na cidade de Barueri,instância local da pandemia de COVID-19,,,Q461773,Barueri
Q90152828,Pandemia de COVID-19 na cidade de Batatais,instância local da pandemia de COVID-19,,,Q650500,Batatais
Q90152833,Pandemia de COVID-19 na cidade de Bauru,instância local da pandemia de COVID-19,,,Q241645,Bauru
Q90152858,Pandemia de COVID-19 na cidade de Bebedouro,instância local da pandemia de COVID-19,,,Q1817181,Bebedouro
Q90152863,Pandemia de COVID-19 na cidade de Birigui,instância local da pandemia de COVID-19,,,Q963648,Birigui
Q90152872,Pandemia de COVID-19 na cidade de Boituva,instância local da pandemia de COVID-19,,,Q1759350,Boituva
Q90152878,Pandemia de COVID-19 na cidade de Botucatu,instância local da pandemia de COVID-19,,,Q1625598,Botucatu
Q90152882,Pandemia de COVID-19 na cidade de Bragança Paulista,instância local da pandemia de COVID-19,,,Q897232,Bragança Paulista
Q90152912,Pandemia de COVID-19 na cidade de Brodowski,instância local da pandemia de COVID-19,,,Q924792,Brodowski
Q90152934,Pandemia de COVID-19 na cidade de Caçapava,instância local da pandemia de COVID-19,,,Q1759103,Caçapava
Q90152975,Pandemia de COVID-19 na cidade de Cachoeira Paulista,instância local da pandemia de COVID-19,,,Q1760112,Cachoeira Paulista
Q90152992,Pandemia de COVID-19 na cidade de Caieiras,instância local da pandemia de COVID-19,,,Q1750069,Caieiras
Q90152999,Pandemia de COVID-19 na cidade de Cajamar,instância local da pandemia de COVID-19,,,Q1760376,Cajamar
Q90153011,Pandemia de COVID-19 na cidade de Campinas,instância local da pandemia de COVID-19,,,Q171617,Campinas
Q90153022,Pandemia de COVID-19 na cidade de Caraguatatuba,instância local da pandemia de COVID-19,,,Q983498,Caraguatatuba
Q90153031,Pandemia de COVID-19 na cidade de Carapicuíba,instância local da pandemia de COVID-19,,,Q176891,Carapicuíba
Q90153046,Pandemia de COVID-19 na cidade de Cedral,instância local da pandemia de COVID-19,,,Q1658493,Cedral
Q90153045,Pandemia de COVID-19 na cidade de Catanduva,instância local da pandemia de COVID-19,,,Q983683,Catanduva
Q90153050,Pandemia de COVID-19 na cidade de Cravinhos,instância local da pandemia de COVID-19,,,Q1798797,Cravinhos
Q90153048,Pandemia de COVID-19 na cidade de Cotia,instância local da pandemia de COVID-19,,,Q669305,Cotia
Q90153054,Pandemia de COVID-19 na cidade de Diadema,instância local da pandemia de COVID-19,,,Q651891,Diadema
Q90153052,Pandemia de COVID-19 na cidade de Cubatão,instância local da pandemia de COVID-19,,,Q817954,Cubatão
Q90153059,Pandemia de COVID-19 na cidade de Dracena,instância local da pandemia de COVID-19,,,Q1762529,Dracena
Q90153066,Pandemia de COVID-19 na cidade de Eldorado,instância local da pandemia de COVID-19,,,Q921644,Eldorado
Q90153068,Pandemia de COVID-19 na cidade de Embu das Artes,instância local da pandemia de COVID-19,,,Q651860,Embu das Artes
Q90153074,Pandemia de COVID-19 na cidade de Embu-Guaçu,instância local da pandemia de COVID-19,,,Q1749956,Embu-Guaçu
Q90153078,Pandemia de COVID-19 na cidade de Ferraz de Vasconcelos,instância local da pandemia de COVID-19,,,Q1646968,Ferraz de Vasconcelos
Q90153081,Pandemia de COVID-19 na cidade de Franca,instância local da pandemia de COVID-19,,,Q504587,Franca
Q90153170,Pandemia de COVID-19 na cidade de Francisco Morato,instância local da pandemia de COVID-19,,,Q1646103,Francisco Morato
Q90153175,Pandemia de COVID-19 na cidade de Franco da Rocha,instância local da pandemia de COVID-19,,,Q657199,Franco da Rocha
Q90153180,Pandemia de COVID-19 na cidade de Guararema,instância local da pandemia de COVID-19,,,Q404820,Guararema
Q90153188,Pandemia de COVID-19 na cidade de Guararapes,instância local da pandemia de COVID-19,,,Q739292,Guararapes
Q90153231,Pandemia de COVID-19 na cidade de Guaratinguetá,instância local da pandemia de COVID-19,,,Q905157,Guaratinguetá
Q90153236,Pandemia de COVID-19 na cidade de Guarujá,instância local da pandemia de COVID-19,,,Q271374,Guarujá
Q90153250,Pandemia de COVID-19 na cidade de Hortolândia,instância local da pandemia de COVID-19,,,Q952617,Hortolândia
Q90153248,Pandemia de COVID-19 na cidade de Guarulhos,instância local da pandemia de COVID-19,,,Q184409,Guarulhos
Q90153258,Pandemia de COVID-19 na cidade de Ibiúna,instância local da pandemia de COVID-19,,,Q1795639,Ibiúna
Q90153267,Pandemia de COVID-19 na cidade de Ilha Comprida,instância local da pandemia de COVID-19,,,Q1645056,Ilha Comprida
Q90153367,Pandemia de COVID-19 na cidade de Ilhabela,instância local da pandemia de COVID-19,,,Q945061,Ilhabela
Q90153370,Pandemia de COVID-19 na cidade de Indaiatuba,instância local da pandemia de COVID-19,,,Q616650,Indaiatuba
Q90153483,Pandemia de COVID-19 na cidade de Iracemápolis,instância local da pandemia de COVID-19,,,Q733787,Iracemápolis
Q90153490,Pandemia de COVID-19 na cidade de Itanhaém,instância local da pandemia de COVID-19,,,Q983491,Itanhaém
Q90153527,Pandemia de COVID-19 na cidade de Itapecerica da Serra,instância local da pandemia de COVID-19,,,Q926662,Itapecerica da Serra
Q90153591,Pandemia de COVID-19 na cidade de Itapetininga,instância local da pandemia de COVID-19,,,Q942071,Itapetininga
Q90153594,Pandemia de COVID-19 na cidade de Itapeva,instância local da pandemia de COVID-19,,,Q1808590,Itapeva
Q90153646,Pandemia de COVID-19 na cidade de Itapevi,instância local da pandemia de COVID-19,,,Q955510,Itapevi
Q90153680,Pandemia de COVID-19 na cidade de Itapira,instância local da pandemia de COVID-19,,,Q1760028,Itapira
Q90153702,Pandemia de COVID-19 na cidade de Itaquaquecetuba,instância local da pandemia de COVID-19,,,Q330202,Itaquaquecetuba
Q90153721,Pandemia de COVID-19 na cidade de Itararé,instância local da pandemia de COVID-19,,,Q985581,Itararé
Q90153732,Pandemia de COVID-19 na cidade de Itatiba,instância local da pandemia de COVID-19,,,Q773065,Itatiba
Q90153746,Pandemia de COVID-19 na cidade de Itatinga,instância local da pandemia de COVID-19,,,Q1648194,Itatinga
Q90153753,Pandemia de COVID-19 na cidade de Itu,instância local da pandemia de COVID-19,,,Q957653,Itu
Q90153759,Pandemia de COVID-19 na cidade de Itupeva,instância local da pandemia de COVID-19,,,Q734333,Itupeva
Q90153765,Pandemia de COVID-19 na cidade de Jaboticabal,instância local da pandemia de COVID-19,,,Q938162,Jaboticabal
Q90153769,Pandemia de COVID-19 na cidade de Jacareí,instância local da pandemia de COVID-19,,,Q655363,Jacareí
Q90153997,Pandemia de COVID-19 na cidade de Jaci,instância local da pandemia de COVID-19,,,Q1760848,Jaci
Q90154003,Pandemia de COVID-19 na cidade de Jaguariúna,instância local da pandemia de COVID-19,,,Q1645067,Jaguariúna
Q90154020,Pandemia de COVID-19 na cidade de Jales,instância local da pandemia de COVID-19,,,Q1649949,Jales
Q90154291,Pandemia de COVID-19 na cidade de Jaú,instância local da pandemia de COVID-19,,,Q1759235,Jaú
Q90154297,Pandemia de COVID-19 na cidade de Joanópolis,instância local da pandemia de COVID-19,,,Q1760327,Joanópolis
Q90154305,Pandemia de COVID-19 na cidade de José Bonifácio,instância local da pandemia de COVID-19,,,Q595976,José Bonifácio
Q90154308,Pandemia de COVID-19 na cidade de Jundiaí,instância local da pandemia de COVID-19,,,Q275109,Jundiaí
Q90154312,Pandemia de COVID-19 na cidade de Laranjal Paulista,instância local da pandemia de COVID-19,,,Q1795659,Laranjal Paulista
Q90154405,Pandemia de COVID-19 na cidade de Lençóis Paulista,instância local da pandemia de COVID-19,,,Q1649601,Lençóis Paulista
Q90157528,Pandemia de COVID-19 na cidade de Limeira,instância local da pandemia de COVID-19,,,Q841241,Limeira
Q90157535,Pandemia de COVID-19 na cidade de Louveira,instância local da pandemia de COVID-19,,,Q1795673,Louveira
Q90191818,Pandemia de COVID-19 na cidade de Matão,instância local da pandemia de COVID-19,,,Q1649629,Matão
Q90191896,Pandemia de COVID-19 na cidade de Mirassol,instância local da pandemia de COVID-19,,,Q648757,Mirassol
Q90191945,Pandemia de COVID-19 na cidade de Monte Alto,instância local da pandemia de COVID-19,,,Q1760626,Monte Alto
Q90191950,Pandemia de COVID-19 na cidade de Olímpia,instância local da pandemia de COVID-19,,,Q636096,Olímpia
Q90191952,Pandemia de COVID-19 na cidade de Orlândia,instância local da pandemia de COVID-19,,,Q1759384,Orlândia
Q90191957,Pandemia de COVID-19 na cidade de Pariquera-Açu,instância local da pandemia de COVID-19,,,Q1760286,Pariquera-Açu
Q90191960,Pandemia de COVID-19 na cidade de Paulínia,instância local da pandemia de COVID-19,,,Q40706,Paulínia
Q90191965,Pandemia de COVID-19 na cidade de Pirajuí,instância local da pandemia de COVID-19,,,Q985494,Pirajuí
Q90191968,Pandemia de COVID-19 na cidade de Praia Grande,instância local da pandemia de COVID-19,,,Q851292,Praia Grande
Q90192001,Pandemia de COVID-19 na cidade de Presidente Prudente,instância local da pandemia de COVID-19,,,Q525618,Presidente Prudente
Q90192005,Pandemia de COVID-19 na cidade de Promissão,instância local da pandemia de COVID-19,,,Q431377,Promissão
Q90192011,Pandemia de COVID-19 na cidade de Rio Claro,instância local da pandemia de COVID-19,,,Q291277,Rio Claro
Q90192009,Pandemia de COVID-19 na cidade de Ribeirão Pires,instância local da pandemia de COVID-19,,,Q927935,Ribeirão Pires
Q90192012,Pandemia de COVID-19 na cidade de Rio Grande da Serra,instância local da pandemia de COVID-19,,,Q663633,Rio Grande da Serra
Q90192018,Pandemia de COVID-19 na cidade de Santa Bárbara d'Oeste,instância local da pandemia de COVID-19,,,Q983747,Santa Bárbara d'Oeste
Q90192016,Pandemia de COVID-19 na cidade de Salto de Pirapora,instância local da pandemia de COVID-19,,,Q1760043,Salto de Pirapora
Q90192242,Pandemia de COVID-19 na cidade de Mauá,instância local da pandemia de COVID-19,,,Q331300,Mauá
Q90192256,Pandemia de COVID-19 na cidade de Mococa,instância local da pandemia de COVID-19,,,Q1760484,Mococa
Q90192264,Pandemia de COVID-19 na cidade de Mogi das Cruzes,instância local da pandemia de COVID-19,,,Q194332,Mogi das Cruzes
Q90192277,Pandemia de COVID-19 na cidade de Mogi Guaçu,instância local da pandemia de COVID-19,,,Q956172,Mogi Guaçu
Q90192282,Pandemia de COVID-19 na cidade de Nova Odessa,instância local da pandemia de COVID-19,,,Q1648345,Nova Odessa
Q90192284,Pandemia de COVID-19 na cidade de Osasco,instância local da pandemia de COVID-19,,,Q4035,Osasco
Q90192290,Pandemia de COVID-19 na cidade de Penápolis,instância local da pandemia de COVID-19,,,Q986508,Penápolis
Q90192288,Pandemia de COVID-19 na cidade de Pedra Bela,instância local da pandemia de COVID-19,,,Q1649666,Pedra Bela
Q90192297,Pandemia de COVID-19 na cidade de Poá,instância local da pandemia de COVID-19,,,Q377601,Poá
Q90192309,Pandemia de COVID-19 na cidade de Presidente Venceslau,instância local da pandemia de COVID-19,,,Q1645733,Presidente Venceslau
Q90192314,Pandemia de COVID-19 na cidade de Salto,instância local da pandemia de COVID-19,,,Q1994826,Salto
Q90192319,Pandemia de COVID-19 na cidade de Peruíbe,instância local da pandemia de COVID-19,,,Q912136,Peruíbe
Q90192316,Pandemia de COVID-19 na cidade de Ourinhos,instância local da pandemia de COVID-19,,,Q985605,Ourinhos
Q90192322,Pandemia de COVID-19 na cidade de Pindamonhangaba,instância local da pandemia de COVID-19,,,Q974642,Pindamonhangaba
Q90192363,Pandemia de COVID-19 na cidade de Porto Ferreira,instância local da pandemia de COVID-19,,,Q1772643,Porto Ferreira
Q90192364,Pandemia de COVID-19 na cidade de Pindorama,instância local da pandemia de COVID-19,,,Q1648152,Pindorama
Q90192365,Pandemia de COVID-19 na cidade de Santa Cruz do Rio Pardo,instância local da pandemia de COVID-19,,,Q1646321,Santa Cruz do Rio Pardo
Q90192380,Pandemia de COVID-19 na cidade de Santos,instância local da pandemia de COVID-19,,,Q81882,Santos
Q90192384,Pandemia de COVID-19 na cidade de São Caetano do Sul,instância local da pandemia de COVID-19,,,Q967648,São Caetano do Sul
Q90192556,Pandemia de COVID-19 na cidade de São Paulo,instância local da pandemia de COVID-19,,,Q174,São Paulo
Q90192562,Pandemia de COVID-19 na cidade de Sorocaba,instância local da pandemia de COVID-19,,,Q188901,Sorocaba
Q90192560,Pandemia de COVID-19 na cidade de São Vicente,instância local da pandemia de COVID-19,,,Q272254,São Vicente
Q90192571,Pandemia de COVID-19 na cidade de Tupã,instância local da pandemia de COVID-19,,,Q961143,Tupã
Q90192569,Pandemia de COVID-19 na cidade de Tanabi,instância local da pandemia de COVID-19,,,Q923862,Tanabi
Q90192572,Pandemia de COVID-19 na cidade de Valinhos,instância local da pandemia de COVID-19,,,Q983511,Valinhos
Q90192699,Pandemia de COVID-19 na cidade de São João da Boa Vista,instância local da pandemia de COVID-19,,,Q925419,São João da Boa Vista
Q90192870,Pandemia de COVID-19 na cidade de Ribeirão Preto,instância local da pandemia de COVID-19,,,Q188892,Ribeirão Preto
Q90192902,Pandemia de COVID-19 na cidade de Santana de Parnaíba,instância local da pandemia de COVID-19,,,Q526318,Santana de Parnaíba
Q90192905,Pandemia de COVID-19 na cidade de São Carlos,instância local da pandemia de COVID-19,,,Q194338,São Carlos
Q90192908,Pandemia de COVID-19 na cidade de São José do Rio Pardo,instância local da pandemia de COVID-19,,,Q984555,São José do Rio Pardo
Q90192919,Pandemia de COVID-19 na cidade de Sertãozinho,instância local da pandemia de COVID-19,,,Q1795634,Sertãozinho
Q90192916,Pandemia de COVID-19 na cidade de São Pedro,instância local da pandemia de COVID-19,,,Q924342,São Pedro
Q90192917,Pandemia de COVID-19 na cidade de São Sebastião,instância local da pandemia de COVID-19,,,Q587013,São Sebastião
Q90192922,Pandemia de COVID-19 na cidade de Suzano,instância local da pandemia de COVID-19,,,Q737670,Suzano
Q90192933,Pandemia de COVID-19 na cidade de Taboão da Serra,instância local da pandemia de COVID-19,,,Q841231,Taboão da Serra
Q90192939,Pandemia de COVID-19 na cidade de Vargem Grande Paulista,instância local da pandemia de COVID-19,,,Q1750075,Vargem Grande Paulista
Q90192936,Pandemia de COVID-19 na cidade de Taubaté,instância local da pandemia de COVID-19,,,Q170540,Taubaté
Q90192941,Pandemia de COVID-19 na cidade de Votorantim,instância local da pandemia de COVID-19,,,Q942083,Votorantim
Q90192962,Pandemia de COVID-19 na cidade de São Miguel Arcanjo,instância local da pandemia de COVID-19,,,Q1808286,São Miguel Arcanjo
Q90192966,Pandemia de COVID-19 na cidade de Sumaré,instância local da pandemia de COVID-19,,,Q942135,Sumaré
Q90192977,Pandemia de COVID-19 na cidade de Terra Roxa,instância local da pandemia de COVID-19,,,Q1759814,Terra Roxa
Q90192980,Pandemia de COVID-19 na cidade de Votuporanga,instância local da pandemia de COVID-19,,,Q1759612,Votuporanga
Q90193437,Pandemia de COVID-19 na cidade de Santo André,instância local da pandemia de COVID-19,,,Q191652,Santo André
Q90193442,Pandemia de COVID-19 na cidade de São José dos Campos,instância local da pandemia de COVID-19,,,Q191642,São José dos Campos
Q90193804,Pandemia de COVID-19 na cidade de São Roque,instância local da pandemia de COVID-19,,,Q1815958,São Roque
Q90193842,Pandemia de COVID-19 na cidade de Tatuí,instância local da pandemia de COVID-19,,,Q1795613,Tatuí
Q90193846,Pandemia de COVID-19 na cidade de Vinhedo,instância local da pandemia de COVID-19,,,Q983534,Vinhedo
